Change;Excluded;Original;en;it
;;Sparring Protective Gear;Sparring Protective Gear;Attrezzatura protettiva per lo sparring
;;Protective sparring gear for martial arts training.;Protective sparring gear for martial arts training.;Attrezzatura protettiva per l'allenamento nelle arti marziali.
;;Ancient Ceremonial Armor;Ancient Ceremonial Armor;Antica armatura cerimoniale
;;Ceremonial armor from ancient civilizations.;Ceremonial armor from ancient civilizations.;Armature cerimoniali di antiche civiltà.
;;Greek Bronze Cuirass;Greek Bronze Cuirass;Corazza di bronzo greca
;;Bronze armor worn by ancient Greek warriors.;Bronze armor worn by ancient Greek warriors.;Armatura di bronzo indossata dagli antichi guerrieri greci.
;;Roman Lorica Segmentata;Roman Lorica Segmentata;Roman Lorica Segmentata
;;Segmented armor worn by Roman legionnaires.;Segmented armor worn by Roman legionnaires.;Armatura segmentata indossata dai legionari romani.
;;Roman Scutum;Roman Scutum;Scudo romano
;;Large rectangular shield used by Roman legions.;Large rectangular shield used by Roman legions.;Grande scudo rettangolare utilizzato dalle legioni romane.
;;Contemporary Mage Gear;Contemporary Mage Gear;Equipaggiamento da mago contemporaneo
;;Advanced magical equipment for modern spellcasters.;Advanced magical equipment for modern spellcasters.;Equipaggiamento magico avanzato per incantatori moderni.
;;Circuit Mage Robes;Circuit Mage Robes;Vesti del mago del circuito
;;Flowing robes with integrated circuit patterns for enhanced spellcasting.;Flowing robes with integrated circuit patterns for enhanced spellcasting.;Abiti fluidi con schemi di circuiti integrati per potenziare gli incantesimi.
;;Holographic Spell Robes;Holographic Spell Robes;Abiti olografici magici
;;Sleek modern robes with holographic spell matrices.;Sleek modern robes with holographic spell matrices.;Eleganti abiti moderni con matrici di incantesimi olografici.
;;Enchanted Research Coat;Enchanted Research Coat;Cappotto di ricerca incantato
;;Lab coat enchanted with protective wards and spell amplification.;Lab coat enchanted with protective wards and spell amplification.;Camice da laboratorio incantato con protezioni e amplificazione degli incantesimi.
;;Spell Storage Wizard Hat;Spell Storage Wizard Hat;Cappello da mago dell'immagazzinamento degli incantesimi
;;Modern wizard hat with built-in spell storage capabilities.;Modern wizard hat with built-in spell storage capabilities.;Cappello da mago moderno con capacità di archiviazione degli incantesimi integrata.
;;Focus Crystal Circlet;Focus Crystal Circlet;Cerchietto di cristallo Focus
;;Crystalline circlet that focuses magical energy.;Crystalline circlet that focuses magical energy.;Cerchietto cristallino che concentra l'energia magica.
;;Arcane Formula Visor;Arcane Formula Visor;Visiera della Formula Arcana
;;High-tech visor that displays spell formulas and arcane calculations.;High-tech visor that displays spell formulas and arcane calculations.;Visore ad alta tecnologia che mostra formule magiche e calcoli arcani.
;;Mana-Conductive Gloves;Mana-Conductive Gloves;Guanti Mana-Conduttivi
;;Gloves woven with mana-conductive fibers.;Gloves woven with mana-conductive fibers.;Guanti intrecciati con fibre conduttive di mana.
;;Emergency Mana Reservoir;Emergency Mana Reservoir;Riserva di mana di emergenza
;;Amulet that stores backup magical energy for emergencies.;Amulet that stores backup magical energy for emergencies.;Amuleto che immagazzina energia magica di riserva per le emergenze.
;;Digital Grimoire Tablet;Digital Grimoire Tablet;Tavoletta Grimorio Digitale
;;Enchanted staff disguised as a modern tablet device.;Enchanted staff disguised as a modern tablet device.;Bastone incantato travestito da moderno tablet.
;;High Society Formal Wear;High Society Formal Wear;Abiti formali dell'alta società
;;Elegant formal wear for high-society events and gatherings.;Elegant formal wear for high-society events and gatherings.;Elegante abito formale per eventi e raduni dell'alta società.
;;Armored Tuxedo;Armored Tuxedo;Smoking corazzato
;;Perfectly tailored tuxedo with bulletproof lining.;Perfectly tailored tuxedo with bulletproof lining.;Smoking su misura con fodera antiproiettile.
;;Enchanted Evening Gown;Enchanted Evening Gown;Abito da sera incantato
;;Elegant evening gown with hidden protective enchantments.;Elegant evening gown with hidden protective enchantments.;Elegante abito da sera con incantesimi protettivi nascosti.
;;Executive Power Suit;Executive Power Suit;Abito da potere esecutivo
;;Classic three-piece suit with authority-enhancing properties.;Classic three-piece suit with authority-enhancing properties.;Classico abito a tre pezzi con caratteristiche che esaltano l'autorevolezza.
;;Ceremonial Military Dress;Ceremonial Military Dress;Abito militare cerimoniale
;;Formal military dress uniform with ceremonial decorations.;Formal military dress uniform with ceremonial decorations.;Uniforme militare formale con decorazioni cerimoniali.
;;Diplomatic Formal Attire;Diplomatic Formal Attire;Abbigliamento formale diplomatico
;;Diplomatic formal wear that enhances negotiation skills.;Diplomatic formal wear that enhances negotiation skills.;Abbigliamento formale diplomatico che migliora le capacità di negoziazione.
;;Social Elite Cocktail Dress;Social Elite Cocktail Dress;Abito da cocktail Social Elite
;;Elegant cocktail dress for sophisticated social events.;Elegant cocktail dress for sophisticated social events.;Elegante abito da cocktail per eventi mondani sofisticati.
;;Enchanted Bow Tie;Enchanted Bow Tie;Papillon incantato
;;Classic formal bow tie with micro-enchantments.;Classic formal bow tie with micro-enchantments.;Classico papillon formale con micro-incantesimi.
;;Social Grace Gloves;Social Grace Gloves;Guanti di grazia sociale
;;Elegant formal gloves that enhance social grace.;Elegant formal gloves that enhance social grace.;Eleganti guanti formali che esaltano la grazia sociale.
;;Corporate Business Attire;Corporate Business Attire;Abbigliamento aziendale
;;Professional business attire for corporate environments.;Professional business attire for corporate environments.;Abbigliamento professionale per ambienti aziendali.
;;Boardroom Commander Suit;Boardroom Commander Suit;Abito da comandante della sala riunioni
;;Sharp business suit that commands respect in boardrooms.;Sharp business suit that commands respect in boardrooms.;Un elegante abito da lavoro che suscita rispetto nelle sale riunioni.
;;Confidence Blazer;Confidence Blazer;Blazer della fiducia
;;Professional blazer with confidence-boosting properties.;Professional blazer with confidence-boosting properties.;Blazer professionale con proprietà che aumentano la sicurezza.
;;Executive Business Dress;Executive Business Dress;Abito da lavoro dirigenziale
;;Business dress that enhances professional presence.;Business dress that enhances professional presence.;Abbigliamento da lavoro che valorizza la presenza professionale.
;;Productivity Dress Shirt;Productivity Dress Shirt;Camicia da abito per la produttività
;;Crisp dress shirt with productivity-enhancing micro-threads.;Crisp dress shirt with productivity-enhancing micro-threads.;Camicia elegante e pulita con micro-fili che migliorano la produttività.
;;Leadership Authority Tie;Leadership Authority Tie;Autorità di leadership
;;Professional tie that enhances leadership qualities.;Professional tie that enhances leadership qualities.;Cravatta professionale che esalta le doti di leadership.
;;Executive Focus Briefcase;Executive Focus Briefcase;Valigetta Executive Focus
;;Business briefcase that organizes thoughts and improves focus.;Business briefcase that organizes thoughts and improves focus.;Valigetta da lavoro che organizza i pensieri e migliora la concentrazione.
;;Time Management Watch;Time Management Watch;Orologio per la gestione del tempo
;;Professional watch that enhances time management skills.;Professional watch that enhances time management skills.;Orologio professionale che migliora le capacità di gestione del tempo.
;;Authority Projection Shoes;Authority Projection Shoes;Scarpe con proiezione dell'autorità
;;Business shoes that project authority with every step.;Business shoes that project authority with every step.;Scarpe da lavoro che trasmettono autorità a ogni passo.
;;Analytical Thinking Glasses;Analytical Thinking Glasses;Occhiali per il pensiero analitico
;;Professional eyeglasses that enhance analytical thinking.;Professional eyeglasses that enhance analytical thinking.;Occhiali professionali che migliorano il pensiero analitico.
;;Networking Executive Blazer;Networking Executive Blazer;Blazer esecutivo per il networking
;;Corporate blazer with network-enhancing properties.;Corporate blazer with network-enhancing properties.;Blazer aziendale con proprietà di potenziamento della rete.
;;Y2K Era Technology;Y2K Era Technology;Tecnologia dell'era Y2K
;;Equipment from the pre-Squishing world that resists temporal loops.;Equipment from the pre-Squishing world that resists temporal loops.;Attrezzatura proveniente dal mondo pre-Squishing che resiste ai loop temporali.
;;Anoki 3310 Loop Shield;Anoki 3310 Loop Shield;Scudo ad anello Anoki 3310
;;Legendary Anoki phone that repels time loop effects and dimensional rifts.;Legendary Anoki phone that repels time loop effects and dimensional rifts.;Il leggendario telefono Anoki che respinge gli effetti dei loop temporali e delle fratture dimensionali.
;;Anti-TTD Tinfoil Hat;Anti-TTD Tinfoil Hat;Cappello di carta stagnola anti-TTD
;;Protective headgear lined with aluminum to block Thought Transmitted Diseases.;Protective headgear lined with aluminum to block Thought Transmitted Diseases.;Copricapo protettivo rivestito in alluminio per bloccare le malattie trasmesse tramite il pensiero.
;;EHI Temporal Coveralls;EHI Temporal Coveralls;Tuta Temporale EHI
;;Industrial coveralls from Esoteric Heavy Industries that survive loop resets.;Industrial coveralls from Esoteric Heavy Industries that survive loop resets.;Tute industriali della Esoteric Heavy Industries resistenti ai ripristini dei cicli.
;;Archive Foundation Gear;Archive Foundation Gear;Fondazione Archivio Gear
;;Equipment designed by the Archive Foundation for information warfare.;Equipment designed by the Archive Foundation for information warfare.;Attrezzatura progettata dall'Archive Foundation per la guerra dell'informazione.
;;Archive Foundation Tactical Vest;Archive Foundation Tactical Vest;Gilet tattico della Fondazione Archive
;;Tactical vest with integrated data storage and transmission capabilities.;Tactical vest with integrated data storage and transmission capabilities.;Giubbotto tattico con capacità integrate di archiviazione e trasmissione dati.
;;Transparency Protocol Visor;Transparency Protocol Visor;Visiera del protocollo di trasparenza
;;Visor that displays all nearby information as public domain data.;Visor that displays all nearby information as public domain data.;Visore che visualizza tutte le informazioni nelle vicinanze come dati di pubblico dominio.
;;Information Liberation Gloves;Information Liberation Gloves;Guanti per la liberazione dell'informazione
;;Gloves that can decrypt any encrypted information through touch.;Gloves that can decrypt any encrypted information through touch.;Guanti in grado di decifrare qualsiasi informazione criptata tramite il tatto.
;;Hypercapitalist Equipment;Hypercapitalist Equipment;Attrezzatura ipercapitalista
;;High-performance gear from the Hypercapitalist Collective.;High-performance gear from the Hypercapitalist Collective.;Attrezzatura ad alte prestazioni dell'Hypercapitalist Collective.
;;Collective Wheel-Legs;Collective Wheel-Legs;Ruote collettive-gambe
;;Bio-modified boots with integrated wheels for constant movement.;Bio-modified boots with integrated wheels for constant movement.;Stivali bio-modificati con ruote integrate per un movimento costante.
;;Temporal Arbitrage Suit;Temporal Arbitrage Suit;causa di arbitraggio temporale
;;Business suit that generates profit from temporal arbitrage.;Business suit that generates profit from temporal arbitrage.;Abito commerciale che genera profitti tramite arbitraggio temporale.
;;Multi-Reality Portfolio Case;Multi-Reality Portfolio Case;Caso di portafoglio multi-realtà
;;Briefcase that stores and trades dimensional currencies.;Briefcase that stores and trades dimensional currencies.;Valigetta in cui vengono conservate e scambiate valute dimensionali.
;;Mages Guild Regalia;Mages Guild Regalia;Insegne della Gilda dei Maghi
;;Traditional robes and accessories of the Mages Guild.;Traditional robes and accessories of the Mages Guild.;Abiti e accessori tradizionali della Gilda dei Maghi.
